Epoch:[1/6](10700/44160) loss:0.827 lr:0.000547990749 epoch_Time:181.0min:
Epoch:[1/6](10800/44160) loss:0.813 lr:0.000547953069 epoch_Time:180.0min:
Epoch:[1/6](10900/44160) loss:0.795 lr:0.000547915041 epoch_Time:180.0min:
Epoch:[1/6](11000/44160) loss:0.807 lr:0.000547876664 epoch_Time:179.0min:
Epoch:[1/6](11100/44160) loss:0.818 lr:0.000547837938 epoch_Time:179.0min:
Epoch:[1/6](11200/44160) loss:0.803 lr:0.000547798864 epoch_Time:178.0min:
Epoch:[1/6](11300/44160) loss:0.821 lr:0.000547759442 epoch_Time:177.0min:
Epoch:[1/6](11400/44160) loss:0.813 lr:0.000547719671 epoch_Time:177.0min:
Epoch:[1/6](11500/44160) loss:0.799 lr:0.000547679552 epoch_Time:176.0min:
Epoch:[1/6](11600/44160) loss:0.794 lr:0.000547639085 epoch_Time:176.0min:
Epoch:[1/6](11700/44160) loss:0.824 lr:0.000547598270 epoch_Time:176.0min:
Epoch:[1/6](11800/44160) loss:0.810 lr:0.000547557106 epoch_Time:176.0min:
Epoch:[1/6](11900/44160) loss:0.825 lr:0.000547515595 epoch_Time:175.0min:
Epoch:[1/6](12000/44160) loss:0.803 lr:0.000547473735 epoch_Time:175.0min:
Epoch:[1/6](12100/44160) loss:0.813 lr:0.000547431528 epoch_Time:174.0min:
Epoch:[1/6](12200/44160) loss:0.812 lr:0.000547388973 epoch_Time:173.0min:
Epoch:[1/6](12300/44160) loss:0.790 lr:0.000547346070 epoch_Time:173.0min:
Epoch:[1/6](12400/44160) loss:0.913 lr:0.000547302819 epoch_Time:172.0min:
Epoch:[1/6](12500/44160) loss:0.860 lr:0.000547259221 epoch_Time:172.0min:
Epoch:[1/6](12600/44160) loss:0.856 lr:0.000547215275 epoch_Time:171.0min:
Epoch:[1/6](12700/44160) loss:0.839 lr:0.000547170982 epoch_Time:171.0min:
Epoch:[1/6](12800/44160) loss:0.820 lr:0.000547126341 epoch_Time:169.0min:
Epoch:[1/6](12900/44160) loss:0.819 lr:0.000547081352 epoch_Time:169.0min:
Epoch:[1/6](13000/44160) loss:0.847 lr:0.000547036016 epoch_Time:168.0min:
Epoch:[1/6](13100/44160) loss:0.818 lr:0.000546990333 epoch_Time:168.0min:
Epoch:[1/6](13200/44160) loss:0.817 lr:0.000546944303 epoch_Time:167.0min:
Epoch:[1/6](13300/44160) loss:0.810 lr:0.000546897926 epoch_Time:167.0min:
Epoch:[1/6](13400/44160) loss:0.810 lr:0.000546851201 epoch_Time:166.0min:
Epoch:[1/6](13500/44160) loss:0.811 lr:0.000546804129 epoch_Time:165.0min:
Epoch:[1/6](13600/44160) loss:0.802 lr:0.000546756711 epoch_Time:165.0min:
Epoch:[1/6](13700/44160) loss:0.799 lr:0.000546708945 epoch_Time:164.0min:
Epoch:[1/6](13800/44160) loss:0.806 lr:0.000546660833 epoch_Time:164.0min:
Epoch:[1/6](13900/44160) loss:0.812 lr:0.000546612374 epoch_Time:163.0min:
Epoch:[1/6](14000/44160) loss:0.806 lr:0.000546563568 epoch_Time:163.0min:
